kod_obce_csu,obec,ico,obyvatel_2025,polozka_5166_2022_kc,polozka_5166_2023_kc,polozka_5166_2024_kc,polozka_5166_2025_kc,celkem_2022_2025_kc,na_obyvatele_kc,vydaje_celkem_2022_2025_kc,podil_na_vydajich_pct,skupina_700_1500
587907,Katov,00842672,277,0,0,0,0,0,0,30472719,0.0,ne
595934,Křižínkov,00842681,224,0,0,0,0,0,0,21854357,0.0,ne
583243,Kupařovice,00405493,388,0,0,0,0,0,0,25804657,0.0,ne
583308,Litostrov,00637556,131,0,0,0,0,0,0,17188448,0.0,ne
596078,Lubné,00599565,52,0,0,0,0,0,0,5314753,0.0,ne
583332,Malešovice,00488038,838,0,0,0,0,0,0,79079563,0.0,ano
583359,Maršov,00363278,522,0,0,0,0,0,0,40640691,0.0,ne
583464,Nelepeč-Žernůvka,00365297,74,0,0,0,0,0,0,8288045,0.0,ne
596191,Níhov,00842699,262,0,0,0,0,0,0,22571822,0.0,ne
583529,Odrovice,00488062,217,0,0,0,0,0,0,28132869,0.0,ne
596400,Pernštejnské Jestřabí,00599662,212,0,0,0,0,0,0,43977556,0.0,ne
549738,Ponětovice,00365408,445,0,0,0,0,0,0,36000933,0.0,ne
583731,Přísnotice,00488283,878,0,0,0,0,0,0,133855118,0.0,ano
596582,Rojetín,00599751,84,0,0,0,0,0,0,11431620,0.0,ne
549789,Říčky,00636789,426,0,0,0,0,0,0,25385132,0.0,ne
596698,Řikonín,00599794,60,0,0,0,0,0,0,5149416,0.0,ne
583847,Sentice,00282545,671,0,0,0,0,0,0,55051666,0.0,ne
583901,Stanoviště,00488330,415,0,0,0,0,0,0,61994123,0.0,ne
582379,Strhaře,00636673,149,0,0,0,0,0,0,16397347,0.0,ne
582450,Synalov,00532193,118,0,0,0,0,0,0,19460372,0.0,ne
584053,Újezd u Rosic,00488348,275,0,0,0,0,0,0,37343696,0.0,ne
584096,Velatice,00488364,769,0,0,0,0,0,0,64213134,0.0,ano
584118,Veverské Knínice,00378640,999,0,0,0,0,0,0,124096804,0.0,ano
597104,Vratislávka,00599930,89,0,0,0,0,0,0,11769986,0.0,ne
597171,Žďárec,00295833,377,0,0,0,0,0,0,68545766,0.0,ne
